Age,Budget (NPR),Duration (days),Activity Preference,Spending Score,Cluster,KMeans_Cluster
25,7351.62,12.5,Adventure,35.7,2,3
21,7421.37,7.8,Adventure,27.0,2,3
29,612.56,3.6,Cultural,4.2,0,1
45,3718.41,7.3,Cultural,17.8,1,4
19,728.78,3.1,Cultural,6.9,0,1
31,3696.04,7.5,Adventure,15.1,3,3
23,6474.29,9.1,Relaxation,28.4,2,3
41,2241.8,17.2,Spiritual,11.9,4,4
30,2303.07,8.0,Cultural,10.1,1,1
25,746.36,3.7,Adventure,6.9,0,1
28,1028.61,3.7,Adventure,5.4,0,1
59,6473.34,15.8,Cultural,36.3,2,0
45,6232.48,12.1,Relaxation,33.5,2,0
28,3000.06,1.5,Spiritual,14.8,4,4
32,5686.61,11.3,Adventure,31.9,3,3
19,1862.27,5.1,Cultural,15.3,0,1
51,5045.4,15.4,Relaxation,19.7,2,4
30,3611.04,2.6,Spiritual,22.2,4,4
33,4859.11,8.2,Adventure,25.0,3,3
46,3238.66,8.1,Cultural,20.6,1,4
41,7945.74,15.9,Cultural,27.4,2,0
36,4767.21,6.8,Adventure,15.2,3,3
36,4270.97,12.6,Adventure,17.2,3,3
28,1114.0,1.7,Cultural,1.0,0,1
18,3605.9,6.5,Adventure,20.9,3,3
27,4717.55,4.6,Cultural,24.0,1,3
27,5194.67,8.3,Adventure,27.9,3,3
55,10367.41,14.4,Relaxation,46.3,2,0
26,3860.01,9.6,Adventure,15.0,3,3
37,7661.55,10.1,Cultural,36.4,2,0
44,1538.77,11.3,Spiritual,6.7,4,4
30,1283.04,2.0,Cultural,9.2,0,1
34,4337.91,12.4,Adventure,30.8,3,3
28,977.96,1.2,Adventure,6.7,0,1
47,3744.19,7.3,Relaxation,25.0,1,4
30,1419.71,5.4,Adventure,14.6,0,1
49,1580.93,1.0,Spiritual,9.9,4,4
36,4743.48,9.4,Adventure,21.4,3,3
41,2648.62,7.9,Cultural,12.6,1,4
28,5553.6,8.0,Relaxation,24.0,2,3
61,8219.44,11.2,Cultural,36.9,2,0
65,5335.93,15.5,Cultural,25.3,2,0
20,532.18,2.8,Cultural,4.5,0,1
59,7466.95,16.4,Relaxation,30.2,2,0
27,716.97,2.1,Adventure,6.9,0,1
35,5669.88,12.3,Adventure,27.6,3,3
34,3059.21,6.8,Cultural,20.7,1,3
49,2913.82,1.7,Spiritual,10.9,4,4
28,617.77,2.9,Cultural,1.0,0,1
28,4569.04,9.3,Adventure,21.3,3,3
32,5020.04,14.0,Adventure,19.1,3,3
30,1810.56,6.7,Adventure,12.8,3,1
57,4116.31,16.1,Cultural,21.6,1,4
60,1912.54,12.8,Spiritual,4.4,4,4
28,2084.49,1.5,Cultural,8.9,1,1
25,532.75,1.4,Adventure,3.3,0,1
26,3655.76,12.5,Adventure,19.0,3,3
38,4336.7,11.7,Relaxation,16.9,1,4
56,3626.47,3.5,Cultural,12.9,1,4
47,3661.32,9.1,Cultural,9.7,1,4
56,4863.67,4.8,Cultural,19.5,1,4
53,3694.47,3.5,Cultural,11.5,1,4
60,4067.48,7.1,Cultural,26.6,1,4
38,1611.1,21.4,Spiritual,20.6,4,4
22,9282.0,7.0,Adventure,37.0,2,3
31,3676.67,9.1,Relaxation,13.9,1,4
55,3141.17,8.3,Cultural,8.9,1,4
65,4524.75,6.3,Relaxation,25.2,1,4
69,7749.73,18.3,Cultural,34.9,2,0
21,587.95,10.0,Cultural,8.5,0,1
18,3259.98,14.3,Adventure,8.4,3,1
50,4758.99,6.5,Relaxation,19.3,1,4
26,1406.6,2.7,Adventure,6.9,0,1
20,2121.62,3.4,Adventure,12.6,3,1
43,2419.56,3.4,Relaxation,6.3,1,4
56,2978.66,9.4,Cultural,17.8,1,4
35,4317.3,5.2,Cultural,28.0,1,3
23,2486.11,7.8,Spiritual,12.9,4,4
45,4077.52,8.7,Relaxation,17.4,1,4
47,3309.85,9.2,Cultural,14.0,1,4
64,8747.25,6.3,Relaxation,26.3,2,0
63,6559.36,22.0,Relaxation,34.4,2,0
51,7719.71,5.7,Cultural,24.2,2,0
24,1156.13,1.5,Cultural,1.0,0,1
25,648.83,5.6,Cultural,8.5,0,1
61,2989.93,12.0,Relaxation,5.7,1,4
55,1364.14,17.0,Spiritual,17.7,4,4
28,680.14,7.2,Adventure,8.6,0,1
59,3536.86,5.3,Cultural,20.4,1,4
36,4396.2,6.4,Adventure,14.1,3,3
45,3699.64,6.4,Cultural,13.4,1,4
48,6386.51,19.2,Cultural,38.3,2,0
28,3748.49,11.6,Adventure,18.7,3,3
54,3601.05,6.8,Relaxation,8.8,1,4
51,2424.6,4.4,Spiritual,1.8,4,4
47,3673.05,4.1,Spiritual,7.1,4,4
26,1956.7,2.1,Cultural,5.7,0,1
29,627.62,7.3,Cultural,4.3,0,1
51,3714.27,10.3,Cultural,19.1,1,4
35,4180.48,13.5,Adventure,20.2,3,3
18,1209.78,4.3,Adventure,2.6,0,1
30,5702.63,5.6,Relaxation,15.1,2,4
36,2679.31,6.9,Cultural,9.0,1,1
19,775.87,4.8,Adventure,11.4,0,1
19,972.33,4.0,Adventure,3.6,0,1
39,8444.04,11.0,Relaxation,35.3,2,0
53,5220.16,15.8,Cultural,18.4,2,4
49,3599.8,5.7,Relaxation,16.2,1,4
32,6210.1,13.5,Adventure,19.6,2,3
26,1042.26,8.2,Cultural,9.0,0,1
67,10809.7,16.7,Cultural,42.8,2,0
33,4779.58,6.3,Cultural,16.9,1,3
29,3439.12,2.8,Spiritual,8.0,4,4
24,507.5,5.1,Cultural,1.9,0,1
20,1058.04,5.8,Adventure,14.2,0,1
19,556.2,2.2,Adventure,1.0,0,1
35,5009.21,11.2,Adventure,23.1,3,3
44,3701.05,6.0,Cultural,21.5,1,3
41,9888.04,14.1,Cultural,42.1,2,0
48,1918.03,2.7,Spiritual,4.9,4,4
57,3566.91,16.1,Spiritual,8.7,4,4
40,5866.96,18.6,Relaxation,24.4,2,0
19,1554.09,6.3,Adventure,7.6,0,1
19,467.0,1.0,Adventure,1.0,0,1
33,5205.42,14.3,Adventure,27.0,3,3
31,5971.45,7.5,Adventure,33.6,3,3
52,6137.25,16.7,Cultural,24.8,2,0
66,1946.75,23.0,Spiritual,13.2,4,4
37,3044.44,4.2,Cultural,8.5,1,1
18,631.92,1.7,Adventure,1.0,0,1
37,1763.0,62.0,Relaxation,38.7,0,2
48,8405.57,21.0,Relaxation,39.2,2,0
49,2538.97,13.0,Spiritual,22.3,4,4
35,4658.59,10.5,Adventure,29.9,3,3
73,3273.51,13.1,Spiritual,19.4,4,4
28,5056.32,13.5,Adventure,18.8,3,3
42,2484.0,81.0,Cultural,54.4,1,2
45,4023.42,5.4,Adventure,21.4,3,3
20,11805.0,9.0,Relaxation,47.5,2,0
28,626.61,4.8,Cultural,7.2,0,1
47,7484.47,19.5,Cultural,32.1,2,0
27,631.01,11.0,Cultural,15.7,0,1
31,1685.0,65.0,Cultural,30.9,0,2
25,2089.35,17.4,Spiritual,16.5,4,4
23,3311.83,5.5,Adventure,30.1,3,3
20,1528.2,6.2,Cultural,3.9,0,1
33,6760.85,15.3,Adventure,39.6,2,3
28,1725.21,2.8,Adventure,11.4,3,1
31,519.92,11.2,Cultural,5.6,0,1
31,1121.24,1.6,Adventure,1.7,0,1
26,2679.78,2.0,Adventure,6.7,3,1
23,2073.59,1.4,Cultural,9.1,1,1
19,5203.93,7.4,Adventure,17.3,2,3
27,867.48,3.1,Cultural,1.0,0,1
25,2735.0,4.7,Spiritual,19.3,4,4
30,4833.8,9.9,Adventure,22.3,3,3
56,2516.65,8.4,Relaxation,10.9,1,4
62,2479.45,7.8,Cultural,10.1,1,4
28,6528.88,10.5,Adventure,29.0,2,3
25,3037.65,7.1,Adventure,10.4,3,1
71,1413.74,13.3,Spiritual,23.2,4,4
36,2824.73,7.0,Adventure,16.2,3,3
45,3257.1,2.4,Cultural,10.9,1,4
63,4027.72,4.5,Cultural,22.1,1,4
25,4550.45,5.6,Adventure,21.4,3,3
31,5899.93,17.5,Adventure,35.7,3,3
52,3419.62,11.1,Cultural,19.6,1,4
28,1442.84,3.2,Cultural,1.0,0,1
72,3185.86,15.3,Spiritual,10.1,4,4
19,1168.51,7.2,Cultural,12.2,0,1
28,7114.97,11.2,Adventure,37.8,2,3
25,718.26,2.0,Adventure,13.3,0,1
18,528.76,2.7,Adventure,11.9,0,1
33,5154.58,8.9,Cultural,18.8,2,3
22,1024.04,4.7,Adventure,7.8,0,1
19,2678.94,2.9,Adventure,5.7,3,1
23,4604.24,12.7,Adventure,10.9,3,3
33,3608.45,10.1,Cultural,14.3,1,3
30,1687.91,11.1,Cultural,5.5,0,1
41,2140.69,7.7,Adventure,1.6,3,1
19,1601.42,3.8,Adventure,10.7,0,1
30,2187.13,2.3,Adventure,16.6,3,1
24,1481.46,2.8,Cultural,4.2,0,1
26,1849.93,3.2,Spiritual,11.4,4,4
44,7642.69,8.8,Adventure,31.3,3,3
34,1750.92,5.8,Relaxation,10.8,0,4
27,3301.8,8.4,Cultural,18.5,1,3
29,4365.69,9.0,Cultural,24.5,1,3
52,2659.02,9.5,Cultural,11.8,1,4
39,5639.99,10.3,Adventure,23.4,3,3
40,4655.93,8.1,Adventure,20.0,3,3
18,1371.73,4.6,Adventure,12.4,0,1
25,1025.21,7.0,Cultural,1.0,0,1
18,1591.75,6.0,Spiritual,11.2,4,4
35,5300.62,5.7,Adventure,20.5,3,3
23,1786.03,2.8,Spiritual,9.3,4,4
69,8568.72,16.5,Cultural,37.6,2,0
72,5978.75,16.4,Relaxation,29.9,2,0
55,4533.02,6.4,Cultural,13.6,1,4
38,3449.88,5.8,Cultural,7.0,1,1
37,1726.2,13.7,Spiritual,15.2,4,4
18,1225.61,2.3,Cultural,1.0,0,1
28,1308.87,2.7,Adventure,1.0,0,1
54,5814.18,15.2,Relaxation,23.6,2,0
58,3924.82,8.2,Relaxation,18.7,1,4
41,1750.35,9.3,Spiritual,14.9,4,4
27,3578.06,10.5,Adventure,16.6,3,3
29,2412.7,2.3,Adventure,5.7,3,1
29,580.49,6.7,Adventure,1.0,0,1
53,6019.59,20.4,Relaxation,30.4,2,0
58,3102.77,6.6,Relaxation,16.7,1,4
42,3857.92,3.5,Cultural,8.4,1,4
25,5818.39,4.7,Adventure,21.0,3,3
47,6411.21,9.3,Adventure,21.3,2,3
18,630.17,1.6,Adventure,1.0,0,1
46,3567.95,12.7,Relaxation,24.1,1,4
24,833.93,2.3,Adventure,1.0,0,1
46,6700.49,12.7,Cultural,41.1,2,0
29,4986.87,2.9,Adventure,19.6,3,3
31,4142.52,8.6,Cultural,15.3,1,3
40,4097.29,4.0,Cultural,10.7,1,4
31,793.72,1.5,Adventure,1.0,0,1
29,2602.12,7.2,Adventure,3.5,3,1
55,7807.2,18.9,Relaxation,34.6,2,0
25,910.66,8.6,Adventure,7.8,0,1
29,1439.9,7.7,Adventure,15.0,0,1
41,10814.41,22.1,Relaxation,50.6,2,0
36,4509.22,6.8,Cultural,19.9,1,3
29,572.8,2.1,Adventure,1.0,0,1
29,5567.86,8.0,Adventure,19.8,3,3
25,2519.14,7.1,Cultural,7.3,1,1
60,1466.55,20.4,Spiritual,17.0,4,4
30,3169.78,2.6,Adventure,16.1,3,1
54,9219.73,10.0,Relaxation,41.2,2,0
55,6675.11,16.4,Cultural,29.2,2,0
58,10958.92,14.8,Cultural,40.7,2,0
63,8465.5,14.0,Relaxation,36.2,2,0
19,699.4,3.1,Adventure,11.0,0,1
59,3527.12,4.7,Cultural,18.5,1,4
55,3067.22,15.5,Spiritual,13.9,4,4
21,1325.31,2.0,Adventure,6.7,0,1
49,4264.22,5.5,Cultural,19.0,1,4
55,2882.25,13.3,Spiritual,11.6,4,4
27,1425.58,1.7,Adventure,12.5,0,1
22,1475.76,2.6,Adventure,13.9,0,1
27,3314.9,1.0,Spiritual,6.5,4,4
49,3400.57,7.1,Cultural,14.6,1,4
60,8697.85,13.8,Cultural,30.3,2,0
54,3674.24,8.2,Relaxation,11.8,1,4
50,7303.8,12.8,Relaxation,34.4,2,0
23,341.0,2.0,Adventure,1.0,0,1
30,4332.6,8.6,Adventure,19.7,3,3
24,904.91,2.1,Adventure,14.0,0,1
19,10705.0,7.0,Adventure,35.7,2,3
37,4014.46,9.5,Adventure,21.1,3,3
25,2651.99,1.2,Cultural,14.3,1,1
51,5312.68,12.3,Cultural,18.9,2,3
42,5990.33,4.6,Cultural,12.7,2,3
51,2524.57,8.4,Cultural,24.9,1,4
33,2467.55,9.4,Cultural,19.7,1,3
54,6743.37,10.1,Cultural,40.5,2,0
46,1446.74,4.4,Spiritual,5.8,4,4
31,2465.51,5.4,Adventure,11.5,3,1
19,596.14,3.4,Adventure,1.0,0,1
70,8611.53,16.7,Cultural,31.7,2,0
35,4018.4,13.1,Adventure,23.9,3,3
19,4005.3,1.0,Spiritual,19.6,4,4
54,2194.93,7.1,Cultural,14.2,1,4
32,3259.33,1.9,Spiritual,8.6,4,4
47,4181.97,9.2,Cultural,19.8,1,4
42,3773.46,8.0,Cultural,19.5,1,3
74,1203.0,6.0,Spiritual,1.0,4,4
32,4605.33,10.1,Adventure,27.2,3,3
26,1799.75,2.8,Cultural,2.4,0,1
44,3900.67,9.6,Cultural,18.2,1,4
26,1085.61,3.1,Cultural,1.0,0,1
51,963.66,4.6,Relaxation,4.1,0,4
31,2914.78,6.2,Adventure,15.3,3,1
62,9364.29,16.4,Cultural,43.0,2,0
42,4284.41,8.6,Adventure,19.1,3,3
56,5441.39,16.1,Cultural,29.0,2,0
33,3525.02,18.1,Spiritual,21.0,4,4
66,3181.61,17.5,Spiritual,12.7,4,4
55,2412.28,17.6,Spiritual,14.8,4,4
54,8518.94,8.6,Relaxation,27.6,2,0
69,8303.19,16.9,Relaxation,37.4,2,0
30,3953.75,10.5,Adventure,19.2,3,3
59,11378.96,10.0,Cultural,47.6,2,0
37,6317.93,19.8,Relaxation,32.0,2,0
66,6344.36,22.6,Relaxation,41.8,2,0
61,5071.24,12.1,Relaxation,19.5,2,4
54,2511.09,3.7,Relaxation,6.1,1,4
26,3302.9,3.3,Cultural,17.2,1,1
26,754.3,9.4,Adventure,7.3,0,1
24,5071.96,14.9,Relaxation,27.6,2,3
18,5820.1,9.3,Adventure,29.4,2,3
45,2950.39,6.3,Cultural,17.2,1,4
18,5022.55,7.1,Adventure,27.2,2,3
22,4352.68,15.3,Adventure,28.7,3,3
51,2457.41,15.1,Spiritual,11.8,4,4
31,1743.19,3.0,Cultural,1.0,0,1
40,5990.67,9.6,Adventure,24.5,3,3
28,750.32,2.0,Adventure,1.7,0,1
20,1086.8,4.1,Adventure,1.0,0,1
25,781.13,8.1,Adventure,2.8,0,1
59,3112.71,7.6,Cultural,15.2,1,4
25,2025.33,4.3,Adventure,10.9,3,1
50,6469.9,16.9,Relaxation,33.7,2,0
22,1435.57,3.9,Cultural,8.6,0,1
40,3986.39,8.2,Adventure,23.2,3,3
31,750.67,1.2,Adventure,1.3,0,1
31,2190.35,4.5,Cultural,17.1,1,1
23,2882.58,5.5,Cultural,16.8,1,1
31,4912.61,17.9,Adventure,24.1,3,3
21,5282.38,11.7,Relaxation,19.0,2,3
34,6602.14,11.2,Adventure,29.1,2,3
28,1608.91,3.3,Adventure,13.6,3,1
28,2660.74,1.0,Spiritual,16.3,4,4
32,3974.02,4.9,Cultural,9.3,1,1
24,1589.89,1.4,Adventure,1.1,0,1
49,2956.62,5.4,Relaxation,10.3,1,4
63,1472.0,5.0,Spiritual,7.7,4,4
52,4641.84,12.4,Cultural,13.1,1,4
44,2879.3,4.6,Relaxation,12.3,1,4
38,5123.38,12.3,Relaxation,25.2,2,4
54,5504.66,21.4,Relaxation,30.9,2,0
47,3020.14,8.1,Cultural,17.8,1,4
29,1714.08,2.2,Adventure,12.8,3,1
31,1524.83,12.9,Adventure,26.6,3,3
20,1326.04,3.7,Cultural,1.0,0,1
51,8602.7,13.9,Cultural,33.2,2,0
31,1960.57,3.2,Cultural,18.7,0,1
26,537.46,2.7,Adventure,2.7,0,1
21,2998.29,14.5,Spiritual,21.9,4,4
28,3654.02,14.8,Relaxation,31.8,1,3
36,3651.0,7.7,Relaxation,13.2,1,4
31,1673.04,11.1,Adventure,19.1,3,3
61,6419.32,12.8,Cultural,32.4,2,0
26,4104.53,8.6,Relaxation,28.7,1,3
31,554.07,3.0,Cultural,1.0,0,1
21,2761.28,1.0,Spiritual,13.3,4,4
19,597.0,1.0,Adventure,1.0,0,1
28,4638.88,14.6,Relaxation,21.9,1,4
53,3307.44,16.7,Spiritual,14.8,4,4
72,4568.11,15.3,Cultural,19.8,1,4
28,2716.64,7.3,Cultural,24.2,1,3
34,5263.05,6.7,Adventure,18.6,3,3
18,2013.42,2.7,Adventure,11.7,3,1
42,5607.84,14.0,Relaxation,21.1,2,4
26,4850.84,10.4,Adventure,17.7,3,3
20,1267.05,2.6,Cultural,8.6,0,1
32,4207.82,12.5,Adventure,17.6,3,3
57,6512.43,19.7,Relaxation,31.0,2,0
53,2142.11,16.5,Spiritual,15.2,4,4
59,2909.04,4.3,Relaxation,20.8,1,4
56,6754.02,14.4,Relaxation,35.4,2,0
35,4105.19,9.2,Cultural,8.0,1,4
47,2088.63,2.9,Spiritual,16.7,4,4
22,5480.44,12.0,Relaxation,30.3,2,3
34,3293.53,8.9,Adventure,21.2,3,3
21,5916.07,6.3,Adventure,23.3,2,3
20,6690.86,5.5,Relaxation,19.5,2,3
19,5352.82,14.1,Adventure,19.4,2,3
27,542.7,6.0,Cultural,7.9,0,1
39,3006.55,16.4,Adventure,16.6,3,3
51,8128.06,6.2,Relaxation,25.0,2,0
28,4067.77,12.1,Adventure,27.1,3,3
29,525.68,2.3,Adventure,1.0,0,1
75,6900.26,22.9,Cultural,35.4,2,0
32,3373.8,4.1,Cultural,16.3,1,3
44,1964.98,8.0,Spiritual,16.2,4,4
55,2075.54,21.3,Spiritual,20.9,4,4
63,1533.45,8.1,Spiritual,12.1,4,4
20,6336.63,12.9,Adventure,28.8,2,3
24,1840.62,1.4,Spiritual,14.6,4,4
19,449.0,2.0,Adventure,1.0,0,1
42,6011.33,10.3,Adventure,24.8,2,3
41,3518.56,9.5,Cultural,22.1,1,3
20,583.56,2.4,Adventure,3.5,0,1
59,2362.37,11.3,Spiritual,11.8,4,4
26,6411.61,9.5,Adventure,24.1,3,3
61,3929.13,6.9,Relaxation,21.3,1,4
53,7463.81,14.6,Relaxation,24.7,2,0
18,3993.7,4.3,Adventure,9.7,3,1
51,3699.21,11.8,Spiritual,17.5,4,4
24,4271.64,5.5,Adventure,22.8,3,3
56,14998.0,21.0,Cultural,66.9,2,0
52,7819.24,23.0,Relaxation,42.7,2,0
